Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
3A50	地中海贫血	Thalassaemias	Thalassaemia	03.Diseases of the blood or blood-forming organs
GB04	男性不育症	Male infertility	Male infertility	16.Diseases of the genitourinary system
9A02	眼睑炎性疾病	Inflammatory disorders of eyelid	Eyelid inflammatory disorder	09.Diseases of the visual system
5C58	先天性卟啉或血红素代谢缺陷	Inborn errors of porphyrin or heme metabolism	Inborn porphyrin/heme metabolism error	05.Endocrine, nutritional or metabolic diseases
EK00	变应性接触性皮炎	Allergic contact dermatitis	Contact dermatitis	14.Diseases of the skin
GA31	女性不孕症	Female infertility	Female infertility	16.Diseases of the genitourinary system
1A95	肛门生殖器疣	Anogenital warts	Anogenital warts	01.Certain infectious or parasitic diseases
GA1Y	其他特指的女性生殖道非炎性疾患	Other specified noninflammatory disorders of female genital tract	Female genital tract noninflammatory disorder	16.Diseases of the genitourinary system
2D50	脑转移性恶性肿瘤	Malignant neoplasm metastasis in brain	Metastatic tumour	02.Neoplasms
2E2Z	未特指的转移性恶性肿瘤	Malignant neoplasm metastasis, unspecified	Metastatic tumour	02.Neoplasms
LD24	以骨骼异常为主要特征的综合征	Syndromes with skeletal anomalies as a major feature	Skeletal anomaly	20.Developmental anomalies
1A61	早期梅毒	Early syphilis	Syphilis	01.Certain infectious or parasitic diseases
1A6Z	未特指的梅毒	Syphilis, unspecified	Syphilis	01.Certain infectious or parasitic diseases
6C4Z	未特指的物质使用所致障碍	Disorders due to substance use, unspecified	Unspecific substance use disorder	06.Mental, behavioural or neurodevelopmental disorders
GA12	性交困难	Dyspareunia	Dyspareunia	16.Diseases of the genitourinary system
2F7C	结缔组织或其他软组织生物学行为不定的肿瘤	Neoplasms of uncertain behaviour of connective or other soft tissue	Desmoid tumour	02.Neoplasms
2B57	原发部位卡波西肉瘤	Kaposi sarcoma, primary site	Kaposi sarcoma	02.Neoplasms
EC32	营养不良型大疱性表皮松懈症	Dystrophic epidermolysis bullosa	Dystrophic epidermolysis bullosa	14.Diseases of the skin
1A70	泌尿生殖系淋球菌感染	Gonococcal genitourinary infection	Gonococcal infection	01.Certain infectious or parasitic diseases
1A7Z	未特指的淋球菌感染	Gonococcal infection, unspecified	Gonococcal infection	01.Certain infectious or parasitic diseases
2D11	肾上腺恶性肿瘤	Malignant neoplasms of adrenal gland	Adrenal cancer	02.Neoplasms
GA20	月经周期出血疾患	Menstrual cycle bleeding disorders	Menstrual cycle bleeding disorder	16.Diseases of the genitourinary system
2D02.2	视网膜母细胞瘤	Retinoblastoma	Retinoblastoma	02.Neoplasms
2B30.1	经典型霍奇金淋巴瘤	Classical Hodgkin lymphoma	Classical Hodgkin lymphoma	02.Neoplasms
2C73.Y	其他特指的卵巢恶性肿瘤	Other specified malignant neoplasms of the ovary	Other specified malignant neoplasms of the ovary	02.Neoplasms
FB83.1	骨质疏松	Osteoporosis	Osteoporosis	15.Diseases of the musculoskeletal system or connective tissue
XH9FM4	精原细胞瘤，NOS	Seminoma, NOS	Seminoma, NOS	X.Extension Codes
2A00.0Y	其他特指的脑胶质瘤	Other specified gliomas of brain	Other specified gliomas of brain	02.Neoplasms
2A00.22	脉络丛肿瘤	Choroid plexus tumours	Choroid plexus tumours	02.Neoplasms
2A85.5	套细胞淋巴瘤	Mantle cell lymphoma	Mantle cell lymphoma	02.Neoplasms
XH77W7	神经节神经母细胞瘤	Ganglioneuroblastoma	Ganglioneuroblastoma	X.Extension Codes
2A8Z	未特指的成熟B细胞肿瘤	Mature B-cell neoplasms, unspecified	Mature B-cell neoplasms, unspecified	02.Neoplasms
2D71	纵隔转移性恶性肿瘤	Malignant neoplasm metastasis in mediastinum	Malignant neoplasm metastasis in mediastinum	02.Neoplasms
XH7Q12	淋巴样白血病，NOS	Lymphoid leukaemia, NOS	Lymphoid leukaemia, NOS	X.Extension Codes
XH6922	室管膜瘤，间变性	Ependymoma, anaplastic	Ependymoma, anaplastic	X.Extension Codes
XH12D2	纤维性星形细胞瘤	Pilocytic astrocytoma	Pilocytic astrocytoma	X.Extension Codes
XH5FJ5	恶性淋巴瘤NOS	Malignant lymphoma, NOS	Malignant lymphoma, NOS	X.Extension Codes
2C34	皮肤神经内分泌癌	Cutaneous neuroendocrine carcinoma	Neuroendocrine carcinoma	02.Neoplasms
2B6A	口咽恶性肿瘤	Malignant neoplasms of oropharynx	Malignant neoplasms of oropharynx	02.Neoplasms
2A90.C	外周T细胞淋巴瘤，其他方面未特指	Peripheral T-cell lymphoma, not otherwise specified	Peripheral T-cell lymphoma, not otherwise specified	02.Neoplasms
XH8P29	髓母细胞瘤，NOS	Medulloblastoma, NOS	Medulloblastoma, NOS	X.Extension Codes
XH8MB9	胚胎性癌，NOS	Embryonal carcinoma, NOS	Embryonal carcinoma, NOS	X.Extension Codes
2A60.39	髓系肉瘤	Myeloid sarcoma	Myeloid sarcoma	02.Neoplasms
XH1E13	生殖细胞瘤	Germinoma	Germinoma	X.Extension Codes
2C90	肾（除外肾盂）恶性肿瘤	Malignant neoplasms of kidney, except renal pelvis	Malignant neoplasms of kidney, except renal pelvis	02.Neoplasms
2A60.37	急性嗜碱细胞白血病	Acute basophilic leukaemia	Acute basophilic leukaemia	02.Neoplasms
2A44	骨髓增殖性和骨髓增生异常疾病，不能分类	Myeloproliferative and myelodysplastic disease, unclassifiable	Myeloproliferative and myelodysplastic disease, unclassifiable	02.Neoplasms
XH8SH6	CNS胚胎瘤NOS	CNS embryonal tumour, NOS	CNS embryonal tumour, NOS	X.Extension Codes
XH4KA9	伯基特淋巴瘤NOS	Burkitt lymphoma, NOS	Burkitt lymphoma, NOS	X.Extension Codes
2C50	腹膜后恶性肿瘤	Malignant neoplasms of retroperitoneum	Malignant neoplasms of retroperitoneum	02.Neoplasms
2A90.6	结外NK/T细胞淋巴瘤，鼻型	Extranodal NK/T-cell lymphoma, nasal type	Extranodal NK/T-cell lymphoma, nasal type	02.Neoplasms
XH83G5	畸胎瘤，NOS	Teratoma, NOS	Teratoma, NOS	X.Extension Codes
LA87.4	共同房室交接处伴房室间隔缺损	Common atrioventricular junction with atrioventricular septal defect	Common atrioventricular junction with atrioventricular septal defect	20.Developmental anomalies
XH6F49	少突星形细胞瘤NOS	Oligoastrocytoma, NOS	Oligoastrocytoma	X.Extension Codes
XH4XG8	慢性髓样白血病，NOS	Chronic myeloid leukaemia, NOS	Chronic myeloid leukaemia, NOS	X.Extension Codes
9C40	视神经疾患	Disorder of the optic nerve	Optic nerve disorder	09.Diseases of the visual system
XH7W59	少突神经胶质瘤，NOS	Oligodendroglioma, NOS	Oligodendroglioma, NOS	X.Extension Codes
XH6TE2	成人T细胞白血病/淋巴瘤（HTLV-1阳性）	Adult T-cell leukaemia/lymphoma (HTLV-1 positive)	Adult T-cell leukaemia/lymphoma (HTLV-1 positive)	X.Extension Codes
8B62	脊髓灰质炎后进行性肌萎缩	Post polio progressive muscular atrophy	Post polio progressive muscular atrophy	08.Diseases of the nervous system
2A85.1	胃黏膜相关淋巴组织结外边缘区淋巴瘤	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue of stomach	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue of stomach	02.Neoplasms
2F98	泌尿器官生物学行为未知的肿瘤	Neoplasms of unknown behaviour of urinary organs	Neoplasms of unknown behaviour of urinary organs	02.Neoplasms
XH8GW4	沃尔丹斯特伦巨球蛋白血症	Waldenstrom macroglobulinemia	Waldenstrom macroglobulinemia	X.Extension Codes
2A00.2	脑神经上皮组织肿瘤	Tumours of neuroepithelial tissue of brain	Tumours of neuroepithelial tissue of brain	02.Neoplasms
8C01.3	慢性炎症性脱髓鞘性多发性神经病	Chronic inflammatory demyelinating polyneuropathy	Chronic inflammatory demyelinating polyneuropathy	08.Diseases of the nervous system
9C85.02	不适当扫视	Inappropriate saccades	Inappropriate saccades	09.Diseases of the visual system
XH5QN3	肾母细胞瘤，NOS	Nephroblastoma, NOS	Nephroblastoma, NOS	X.Extension Codes
XH7099	腺泡状横纹肌肉瘤	Alveolar rhabdomyosarcoma	Alveolar rhabdomyosarcoma	X.Extension Codes
4B2Y	其他特指的涉及免疫系统的疾病	Other specified disorders involving the immune system	Castlemans disease	04.Diseases of the immune system
1F28.2	足部皮肤癣菌病	Dermatophytosis of foot	Dermatophytosis of foot	01.Certain infectious or parasitic diseases
2A82.0	慢性淋巴细胞白血病或小淋巴细胞淋巴瘤	Chronic lymphocytic leukaemia or small lymphocytic lymphoma	Chronic lymphocytic leukaemia or small lymphocytic lymphoma	02.Neoplasms
XH83G1	胚胎性横纹肌肉瘤，NOS	Embryonal rhabdomyosarcoma, NOS	Embryonal rhabdomyosarcoma, NOS	X.Extension Codes
LA88.4	室间隔缺损	Ventricular septal defect	Ventricular septal defect	20.Developmental anomalies
XH50W7	T淋巴细胞白血病/淋巴瘤	T lymphoblastic leukaemia/lymphoma	T lymphoblastic leukaemia/lymphoma	X.Extension Codes
XH5HH7	骨髓增生性肿瘤，NOS	Myeloproliferative neoplasm, NOS	Myeloproliferative neoplasm, NOS	X.Extension Codes
8E4A.0	中枢神经系统（脑或脊髓）的副肿瘤性或自身免疫性疾病	Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord	Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord	08.Diseases of the nervous system
KA62.6	先天性人类免疫缺陷病毒感染	Congenital human immunodeficiency virus infection	Congenital human immunodeficiency virus infection	19.Certain conditions originating in the perinatal period
2C10.1	胰腺神经内分泌肿瘤	Neuroendocrine neoplasms of pancreas	Neuroendocrine neoplasms of pancreas	02.Neoplasms
2C27	胸腺恶性肿瘤	Malignant neoplasms of thymus	Thymoma	02.Neoplasms
2C75.0	胎盘恶性滋养细胞肿瘤	Malignant trophoblastic neoplasms of placenta	Malignant trophoblastic neoplasms of placenta	02.Neoplasms
3C0Z	未特指的血液或造血器官疾病	Diseases of the blood or blood-forming organs, unspecified	Diseases of the blood or blood-forming organs, unspecified	03.Diseases of the blood or blood-forming organs
XH0YB0	小细胞癌，NOS	Small cell carcinoma, NOS	Small cell carcinoma, NOS	X.Extension Codes
8A43	视神经脊髓炎	Neuromyelitis optica	Neuromyelitis optica	08.Diseases of the nervous system
DB92.1	非酒精性脂肪性肝炎	Non-alcoholic steatohepatitis	Non-alcoholic steatohepatitis	13.Diseases of the digestive system
BC43.1	肥厚型心肌病	Hypertrophic cardiomyopathy	Hypertrophic cardiomyopathy	11.Diseases of the circulatory system
KA20.1	宫内生长受限	Intrauterine growth restriction	Intrauterine growth restriction	19.Certain conditions originating in the perinatal period
8C21.0	遗传性感觉和自主神经病I型	Hereditary sensory and autonomic neuropathy type I	Hereditary sensory and autonomic neuropathy type I	08.Diseases of the nervous system
9A96	前葡萄膜炎	Anterior uveitis	Anterior uveitis	09.Diseases of the visual system
XH5KW8	男性乳腺癌	Carcinoma of male breast	Carcinoma of male breast	X.Extension Codes
8C73.1	神经病变、共济失调和色素性视网膜炎	Neuropathy, ataxia, and retinitis pigmentosa	Neuropathy, ataxia, and retinitis pigmentosa	08.Diseases of the nervous system
LD2F.1Y	其他特指的非环境引起的多发性结构异常综合征	Other specified syndromes with multiple structural anomalies, not of environmental origin	Other specified syndromes with multiple structural anomalies, not of environmental origin	20.Developmental anomalies
LA02.Z	未特指的脊柱裂	Spina bifida, unspecified	Spina bifida, unspecified	20.Developmental anomalies
GB61.Z	慢性肾脏病，未特指分期	Chronic kidney disease, stage unspecified	Chronic kidney disease, stage unspecified	16.Diseases of the genitourinary system
5B55	维生素A缺乏	Vitamin A deficiency	Vitamin A deficiency	05.Endocrine, nutritional or metabolic diseases
NE60	药物、药剂或生物制品的有害效应，不可归类在他处者	Harmful effects of drugs, medicaments or biological substances, not elsewhere classified	Harmful effects of drugs, medicaments or biological substances, not elsewhere classified	22.Injury, poisoning or certain other consequences of external causes
LA40	唇裂	Cleft lip	Cleft lip	20.Developmental anomalies
GA33	反复性妊娠丢失	Recurrent pregnancy loss	Recurrent pregnancy loss	16.Diseases of the genitourinary system
ND56.2	未特指身体区域的骨折	Fracture of unspecified body region	Fracture of unspecified body region	22.Injury, poisoning or certain other consequences of external causes
LA42	腭裂	Cleft palate	Cleft palate	20.Developmental anomalies
1D01.Y	其他特指的感染性脑膜炎，不可归类在他处者	Other specified infectious meningitis, not elsewhere classified	Other specified infectious meningitis not elsewhere classified	01.Certain infectious or parasitic diseases
8A62.0	婴儿痉挛	Infantile spasms	Infantile spasms	08.Diseases of the nervous system
GC50.0	膀胱过度活动症	Overactive bladder	Overactive bladder	16.Diseases of the genitourinary system
8A07	某些特指的运动障碍	Certain specified movement disorder	Movement disorder	08.Diseases of the nervous system
8A0Z	未特指的运动障碍	Movement disorders, unspecified	Movement disorder	08.Diseases of the nervous system
5B5A.0	脚气病	Beriberi	Beriberi	05.Endocrine, nutritional or metabolic diseases
ME05.1	腹泻	Diarrhoea	Diarrhoea	21.Symptoms, signs or clinical findings, not elsewhere classified
SD10	偏头风（TM1）	Migraine disorder (TM1)	Migraine disorder(TM1)	26.Supplementary Chapter Traditional Medicine Conditions - Module I
JB63	可归类在他处的孕产妇的感染性疾病并发于妊娠、分娩或产褥期	Maternal infectious diseases classifiable elsewhere but complicating pregnancy, childbirth or the puerperium	Pregnancy/childbirth/puerperium maternal infection	18.Pregnancy, childbirth or the puerperium
BD42.0	原发性雷诺病	Primary Raynaud disease	Primary Raynaud disease	11.Diseases of the circulatory system
5B57	维生素D缺乏	Vitamin D deficiency	Vitamin D deficiency	05.Endocrine, nutritional or metabolic diseases
CA26.Y	其他特指的慢性细支气管炎	Other specified chronic bronchiolitis	Other specified chronic bronchiolitis	12.Diseases of the respiratory system
6C00	遗尿症	Enuresis	Enuresis	06.Mental, behavioural or neurodevelopmental disorders
KA8Y	其他特指的胎儿或新生儿出血性或血液系统疾患	Other specified haemorrhagic or haematological disorders of fetus or newborn	Other specified haemorrhagic or haematological disorders of fetus or newborn	19.Certain conditions originating in the perinatal period
QB97	肿瘤的化学治疗疗程	Contact with health services for chemotherapy session for neoplasm	Chemotherapy session for neoplasm	24.Factors influencing health status or contact with health services
4B00.0	中性粒细胞减少症	Neutropenia	Neutropaenia	04.Diseases of the immune system
MA18.0	血糖水平升高	Elevated blood glucose level	Elevated blood glucose level	21.Symptoms, signs or clinical findings, not elsewhere classified
5C80.1	高甘油三酯血症	Hypertriglyceridaemia	Hypertriglyceridaemia	05.Endocrine, nutritional or metabolic diseases
